,sample1,sample2,AMT_score
1,S004C002P020R002A007,S011C003P038R001A022,1.4
2,S007C001P015R002A027,S024C001P064R001A099,1.222222222
3,S027C001P080R002A096,S005C002P016R002A022,1
4,S008C002P036R002A022,S005C001P016R002A022,3.7
5,S027C003P086R001A104,S025C001P066R002A104,2.6
6,S023C001P068R002A101,S012C002P027R002A008,1.5
7,S006C001P001R001A008,S001C001P008R001A048,1
8,S013C003P019R001A048,S008C001P007R001A039,1.2
9,S008C002P033R002A007,S014C002P019R002A007,3.5
10,S030C001P095R002A097,S020C003P052R001A104,1.454545455
11,S020C001P053R001A099,S023C001P059R001A099,3.6
12,S032C001P102R002A098,S024C001P060R002A096,2.222222222
13,S032C003P106R001A096,S025C003P068R001A096,3.666666667
14,S010C002P008R002A040,S017C001P003R002A007,1
15,S028C001P073R002A101,S008C001P001R002A035,1.444444444
16,S002C001P011R001A008,S002C001P014R002A008,3.7
17,S008C003P033R001A039,S002C002P014R002A048,1.2
18,S001C001P003R002A040,S004C001P020R002A039,1.3
19,S023C002P061R002A104,S010C001P013R002A040,1.1
20,S027C003P083R001A101,S007C003P016R001A035,1.555555556
21,S010C001P021R002A008,S005C001P010R002A008,3.666666667
22,S026C001P071R001A104,S019C001P050R002A104,1.333333333
23,S029C002P080R002A080,S007C001P028R001A008,1.333333333
24,S002C001P013R001A023,S023C001P058R002A104,1
25,S028C001P046R001A104,S023C002P064R002A080,1
26,S006C002P008R002A026,S032C003P106R001A099,1.090909091
27,S028C003P043R001A096,S031C003P100R001A096,3.6
28,S008C001P015R002A007,S017C002P009R002A007,3.8
29,S026C001P071R001A104,S008C001P031R002A040,1.1
30,S008C002P029R002A027,S003C003P018R001A027,3
31,S030C003P011R001A100,S031C002P097R002A100,3.777777778
32,S028C002P087R002A100,S007C001P016R001A026,2
33,S018C003P008R001A095,S011C001P018R002A022,2.2
34,S026C001P071R001A098,S031C003P100R001A097,1.5
35,S019C003P051R001A096,S012C002P037R002A039,1.2
36,S027C003P085R001A101,S002C002P014R002A008,1.1
37,S023C003P059R001A099,S019C002P008R002A100,1.888888889
38,S031C003P100R001A097,S008C003P030R001A035,1
39,S026C003P071R001A100,S032C001P106R002A100,3.5
40,S002C003P007R001A022,S008C001P036R002A007,1.1
41,S008C001P033R002A048,S004C001P003R001A048,2.125
42,S031C003P099R001A080,S002C001P012R001A048,1.1
43,S006C001P017R001A026,S003C001P015R002A009,1
44,S024C002P060R002A096,S031C003P100R001A096,3
45,S027C003P083R001A099,S020C003P052R001A100,1.555555556
46,S026C002P071R002A097,S020C001P052R001A098,1.666666667
47,S001C002P006R002A026,S017C002P003R002A026,3.181818182
48,S008C003P036R001A040,S008C001P031R002A040,3.8
49,S008C002P036R002A027,S027C001P084R002A099,1.5
50,S014C001P037R001A007,S011C002P015R002A022,1.1
51,S032C002P105R002A097,S028C001P087R001A097,3.818181818
52,S016C001P040R002A007,S002C001P012R002A007,3.555555556
53,S006C002P022R002A022,S005C001P021R001A007,1
54,S027C001P083R001A099,S019C001P050R002A100,1.545454545
55,S001C003P004R001A007,S017C001P009R002A007,2.2
56,S030C001P095R001A095,S020C002P052R002A095,3.5
57,S008C002P032R002A048,S002C001P013R002A035,3.444444444
58,S025C003P056R001A080,S019C002P049R002A080,2.545454545
59,S002C002P012R002A007,S014C001P019R002A007,3.5
60,S003C001P019R001A022,S005C002P010R002A022,3
61,S008C001P025R002A035,S008C001P033R001A035,3.7
62,S027C001P084R002A095,S010C001P021R002A022,2
63,S013C001P018R002A048,S013C001P019R001A048,3.6
64,S011C003P016R001A007,S016C001P008R002A022,1.3
65,S028C001P073R001A080,S030C001P076R001A080,3.2
66,S027C002P011R002A097,S032C002P104R002A097,3.5
67,S026C001P075R002A104,S032C001P008R001A097,2.333333333
68,S001C001P006R001A035,S011C002P038R002A035,3.4
69,S006C003P023R001A026,S007C003P016R001A026,3.9
70,S023C002P061R002A104,S006C001P024R001A040,1.2
71,S019C002P050R002A104,S031C003P097R001A104,1.5
72,S011C001P002R001A022,S004C001P020R002A022,3.909090909
73,S023C002P056R002A098,S031C001P100R001A097,1.666666667
74,S002C003P014R001A039,S008C002P033R002A048,1
75,S008C001P029R001A040,S027C001P085R002A096,1.9
76,S015C001P019R002A023,S008C001P029R002A007,1
77,S008C003P035R001A008,S008C002P029R002A008,3.6
78,S027C002P080R002A102,S008C002P031R002A026,1.2
79,S014C001P039R001A007,S007C003P016R001A023,1.5
80,S014C003P025R001A007,S011C003P016R001A007,3.5
81,S030C001P095R001A102,S025C001P056R001A102,4
82,S031C001P097R001A101,S031C001P100R001A101,3.3
83,S008C001P032R002A008,S008C002P029R002A008,3.454545455
84,S008C002P033R002A009,S003C002P015R002A009,3.7
85,S011C001P018R002A022,S001C001P004R002A022,2.6
86,S006C003P022R001A035,S008C001P034R001A048,1.3
87,S007C002P018R002A026,S014C001P037R001A009,1
88,S027C003P083R001A101,S028C003P087R001A101,3.222222222
89,S028C001P073R002A104,S032C002P104R002A097,1.5
90,S026C001P050R002A080,S021C002P060R002A080,2.9
91,S004C002P020R002A039,S008C002P032R002A039,3.6
92,S027C001P083R001A099,S027C002P086R002A099,3.636363636
93,S030C001P092R002A080,S009C001P017R002A008,1.3
94,S006C002P023R002A008,S006C001P024R001A008,4
95,S007C003P018R001A039,S010C001P008R002A040,1.6
96,S032C002P102R002A102,S007C002P018R002A026,1.222222222
97,S001C002P006R002A026,S002C002P011R002A009,1.090909091
98,S027C002P082R002A100,S013C002P037R002A027,1.1
99,S021C003P059R001A096,S032C002P102R002A098,1.2
100,S011C003P038R001A040,S014C001P025R001A007,1.222222222
101,S008C003P029R001A009,S012C001P008R001A009,3.454545455
102,S002C001P011R002A023,S006C003P023R001A023,3.833333333
103,S002C001P011R002A022,S010C002P021R002A022,2.7
104,S027C001P084R001A098,S008C002P031R002A040,1.5
105,S027C002P084R002A096,S030C001P092R001A096,2.2
106,S023C002P066R002A080,S029C002P080R002A080,3.333333333
107,S001C003P007R001A040,S008C002P033R002A007,1
108,S006C003P022R001A009,S006C003P017R001A026,1
109,S007C001P018R002A026,S030C002P096R002A099,1.666666667
110,S016C001P040R002A023,S002C001P013R001A023,3
111,S001C001P003R002A040,S008C001P034R002A039,1.6
112,S031C001P097R001A101,S027C003P083R001A101,3.9
113,S011C003P001R001A009,S008C001P029R002A027,1.3
114,S029C002P080R002A080,S006C001P023R002A035,1.222222222
115,S005C003P021R001A007,S002C001P013R001A022,1
116,S016C001P039R002A027,S008C001P029R002A027,3.5
117,S029C003P080R001A099,S027C002P079R002A099,3.2
118,S006C002P008R002A026,S010C001P021R002A026,3.272727273
119,S012C001P008R001A009,S008C001P031R002A026,1
120,S008C002P035R002A035,S008C001P035R002A035,4
121,S012C002P028R002A022,S013C001P027R002A007,1
122,S032C001P105R001A100,S006C001P022R002A026,2
123,S004C003P003R001A035,S008C001P035R002A035,3.75
124,S008C001P033R002A007,S001C001P005R002A007,3.6
125,S027C001P080R002A096,S002C003P014R001A039,1.1
126,S002C003P013R001A039,S016C001P040R001A040,1.333333333
127,S029C003P080R001A104,S020C001P053R001A104,1.666666667
128,S006C002P001R002A040,S008C003P034R001A040,3.6
129,S010C001P013R002A040,S002C001P010R002A040,3.444444444
130,S032C001P044R002A101,S003C002P002R002A035,1.3
131,S001C001P006R001A007,S002C003P014R001A023,1.1
132,S021C001P058R002A099,S019C002P008R002A100,1.777777778
133,S006C003P023R001A039,S001C001P004R001A039,3.8
134,S031C003P043R001A100,S006C002P022R002A027,1.4
135,S030C003P095R001A098,S025C001P068R002A098,3.545454545
136,S027C001P081R002A097,S016C001P040R001A022,1.222222222
137,S005C003P018R001A008,S002C002P011R002A035,1.1
138,S007C002P025R002A009,S025C003P056R001A080,1.1
139,S027C003P084R001A101,S029C001P080R002A101,3.636363636
140,S020C003P052R001A096,S031C001P051R002A098,1.5
141,S011C003P001R001A009,S008C002P035R002A048,1.4
142,S014C001P008R001A035,S013C003P008R001A008,1
143,S006C003P024R001A008,S009C002P019R002A035,1.3
144,S010C003P008R001A039,S008C001P033R001A039,3.727272727
145,S012C001P037R002A039,S006C003P023R001A039,3.545454545
146,S003C001P002R001A048,S016C001P040R001A048,4
147,S011C001P038R001A039,S028C001P087R001A096,1.3
148,S027C001P084R001A101,S028C001P087R001A101,3.454545455
149,S002C001P012R002A040,S006C001P024R001A040,3.9
150,S008C001P029R002A048,S003C001P002R001A048,3.1
151,S011C001P038R001A039,S008C002P032R002A039,3.333333333
152,S008C001P036R001A026,S002C001P014R001A009,1.1
153,S005C003P021R001A007,S008C002P015R002A007,3.454545455
154,S006C003P022R001A039,S008C001P035R002A048,1
155,S008C002P036R002A009,S010C001P013R002A009,3.636363636
156,S031C003P006R001A104,S023C002P061R002A104,2.7
157,S016C002P040R002A026,S003C002P002R002A026,3.7
158,S013C003P027R001A027,S027C001P084R002A100,1.3
159,S012C001P027R002A009,S012C001P008R001A027,1
160,S027C001P086R001A104,S012C002P016R002A040,1.3
161,S028C003P043R001A096,S031C003P097R001A096,3.3
162,S011C001P015R002A022,S026C002P072R002A104,2
163,S031C001P097R001A098,S008C002P031R002A040,1.555555556
164,S030C003P095R001A095,S010C001P025R002A022,2.111111111
165,S016C001P040R002A007,S017C001P003R002A007,3.111111111
166,S001C001P006R001A039,S008C002P029R002A039,3.777777778
167,S023C001P058R002A104,S001C001P004R002A040,2.1
168,S008C003P035R001A008,S008C002P033R002A008,3.9
169,S021C002P058R002A099,S025C002P055R002A099,3.25
170,S029C003P051R001A097,S026C003P050R001A098,2.1
171,S010C001P025R002A027,S001C002P003R002A027,3.5
172,S021C003P060R001A098,S006C001P023R001A040,1.3
173,S015C002P016R002A027,S030C003P095R001A099,1.5
174,S010C001P008R001A023,S011C001P016R001A007,1.363636364
175,S024C003P064R001A095,S012C002P028R002A040,1.2
176,S002C002P012R002A009,S001C001P006R002A027,1.1
177,S026C002P076R002A098,S030C001P096R001A096,1.2
178,S008C001P034R002A022,S030C001P095R002A104,1.9
179,S006C001P024R002A035,S008C001P030R001A035,3.6
180,S028C001P073R001A080,S008C001P030R002A048,1.1
181,S008C002P031R002A048,S013C001P028R002A035,1.777777778
182,S013C001P027R001A026,S008C001P034R001A009,1
183,S026C003P050R001A097,S006C003P024R001A022,1.8
184,S016C003P039R001A035,S010C002P017R002A048,2.25
185,S027C001P083R001A097,S032C003P008R001A097,3.6
186,S026C001P050R001A102,S028C003P008R001A101,1
187,S014C003P039R001A007,S001C001P004R002A022,1
188,S029C002P080R002A080,S016C003P040R001A008,1.555555556
189,S011C002P038R002A008,S011C001P038R002A008,4
190,S028C002P073R002A102,S026C001P072R002A101,1.2
191,S030C003P088R001A080,S013C003P027R001A035,1.2
192,S023C002P066R002A080,S004C002P020R002A035,1.1
193,S001C003P004R001A007,S006C001P024R001A007,1.555555556
194,S021C003P060R001A104,S027C001P079R002A104,2.666666667
195,S031C003P006R001A098,S015C001P025R002A040,1.2
196,S004C003P003R001A035,S002C001P011R002A035,3.363636364
197,S008C002P033R002A008,S008C001P029R001A035,1.777777778
198,S021C001P056R001A095,S008C002P033R002A040,1.181818182
199,S001C001P006R002A027,S030C002P096R002A099,1.363636364
200,S017C001P020R001A009,S001C002P006R002A009,3.8
201,S032C003P106R001A080,S027C001P011R002A080,1.9
202,S028C001P043R002A101,S006C001P024R001A048,1.083333333
203,S008C003P029R001A009,S006C003P022R001A009,3.1
204,S010C002P025R002A027,S008C003P031R001A027,3.555555556
205,S026C002P072R002A100,S016C002P039R002A026,1.2
206,S030C001P092R002A080,S016C001P025R001A048,1.272727273
207,S002C002P003R002A008,S008C002P029R002A048,1
208,S020C001P052R002A101,S021C001P056R002A097,1
209,S023C002P059R002A102,S026C002P072R002A102,4
210,S030C001P092R001A096,S021C002P059R002A100,1
211,S027C001P084R001A098,S030C003P095R001A098,3.6
212,S008C001P029R001A023,S002C003P013R001A023,3.7
213,S030C001P095R002A097,S021C001P056R002A097,3.8
214,S016C001P040R002A007,S011C001P015R002A022,1.222222222
215,S023C001P059R001A099,S002C003P012R001A026,1.4
216,S007C003P016R001A026,S001C001P005R001A009,1.1
217,S027C001P083R001A100,S030C002P011R002A099,2.2
218,S029C001P080R001A097,S008C002P036R002A022,1.8
219,S006C001P024R001A009,S002C001P011R002A009,3.6
220,S028C001P087R001A098,S032C001P043R002A098,3.5
221,S031C001P097R002A100,S002C001P012R001A026,1.5
222,S005C002P010R002A008,S023C001P068R002A080,2.454545455
223,S002C002P014R002A007,S008C001P036R002A007,3.1
224,S030C001P095R002A097,S028C001P073R001A097,3.818181818
225,S008C001P035R001A040,S001C001P007R001A040,3.8
226,S014C001P007R001A007,S011C002P038R002A007,3.2
227,S006C001P001R002A040,S002C001P014R001A040,3.8
228,S013C001P027R001A026,S006C001P017R001A026,3.6
229,S001C001P005R001A048,S016C001P025R001A048,2
230,S023C003P066R001A101,S008C003P034R001A008,1.1
231,S004C001P020R002A035,S008C001P033R001A035,3.8
232,S026C001P050R001A102,S026C001P071R002A095,1
233,S013C002P027R002A007,S011C002P002R002A023,1.3
234,S002C001P013R002A035,S008C002P033R002A008,1.111111111
235,S008C002P033R002A009,S002C001P011R002A048,1
236,S032C001P106R001A096,S025C003P058R001A100,1.125
237,S003C003P002R001A039,S013C003P015R001A048,1
238,S031C001P097R001A101,S004C003P020R001A008,1
239,S016C001P025R002A026,S008C002P035R002A026,3.8
240,S016C003P040R001A009,S006C001P022R002A027,1
241,S008C003P034R001A027,S028C003P046R001A099,1.5
242,S030C002P095R002A104,S015C002P025R002A040,1
243,S008C001P029R001A022,S002C001P013R001A022,2.545454545
244,S027C001P081R001A095,S027C001P083R001A104,3.5
245,S002C001P014R001A035,S030C001P095R002A080,1.2
246,S031C001P051R002A099,S031C001P100R001A099,3.8
247,S002C002P011R002A023,S002C003P013R001A023,3.4
